nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 57 162 162 1 1 10 0 51 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 54 20000 0.1 1 10 lin col uniform
250 100 57 162 162 1 1 10 0 57 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 3 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 6 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 9 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 12 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 15 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 18 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 21 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 24 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 27 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 30 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 33 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 36 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 39 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 42 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 45 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 48 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 51 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 54 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 57 20000 0.1 1 10 lin col uniform
250 100 61 158 158 1 1 10 0 61 20000 0.1 1 10 lin col uniform
250 100 64 155 155 1 1 10 0 0 20000 0.1 1 10 lin col uniform
250 100 64 155 155 1 1 10 0 3 20000 0.1 1 10 lin col uniform
