nb_data_points nb_test_data_points input_dim teacher_size student_size output_dim init_range batch_size nb_AH_layer2 nb_AH_layer1 nb_epochs learning_rate feedback_scale nb_init nonlinearity modification_type initialization_type
250 100 12 207 207 1 1 250 62 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 72 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 82 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 93 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 103 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 113 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 124 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 134 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 144 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 155 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 165 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 175 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 186 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 196 0 100000 0.1 1 20 lin col uniform
250 100 12 207 207 1 1 250 207 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 0 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 10 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 20 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 30 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 40 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 50 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 60 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 70 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 80 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 90 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 101 0 100000 0.1 1 20 lin col uniform
250 100 17 202 202 1 1 250 111 0 100000 0.1 1 20 lin col uniform
